# 特殊字元 / 清理報表 — 海岸阿美語 (dialectId=3, lang_code=ami-coastal)
# 統計
{
  "total_xml": 1094,
  "valid": 1094,
  "skipped_placeholder": 0,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 299,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1094,
  "apostrophe_words": 262,
  "slash_words": 161,
  "caret_words": 3,
  "special_chars": {
    "ʼ": 193,
    "/": 161,
    "’": 69,
    "^": 3,
    ":": 3,
    ")": 2,
    "數": 2,
    "(": 2,
    "物": 1,
    "人": 1,
    "…": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 26-19	爬上(去)	'mikalic/cokacok'	正式拼寫特殊字:/
[FORMAL] 26-20	仰躺	'wakang/mati’enang'	正式拼寫特殊字:/’
[FORMAL] 26-26	撞到	'masongtol/matatepex'	正式拼寫特殊字:/
[FORMAL] 26-27	抱著	'ʼafofo'	正式拼寫特殊字:ʼ
[FORMAL] 26-28	吹	'ʼiyof'	正式拼寫特殊字:ʼ
[FORMAL] 26-38	綁住	'sefet/so’ot'	正式拼寫特殊字:/’
[FORMAL] 26-40	劈(木材)	'pelaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-41	扯斷	'pintoh/lafot'	正式拼寫特殊字:/
[FORMAL] 26-47	挑選	'piliʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-48	散撒	'rasiras/folesak'	正式拼寫特殊字:/
[FORMAL] 26-52	搬運	'coloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-53	拔出	'fi’enot/hodoc'	正式拼寫特殊字:/’
[FORMAL] 26-55	壓住	'paekel/’enec'	正式拼寫特殊字:/’
[FORMAL] 26-56	搔癢	'kirikiriʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-58	摘取	'peco’/pitpit'	正式拼寫特殊字:/’
[FORMAL] 26-62	振動	'satepihtepih/ngernger'	正式拼寫特殊字:/
[FORMAL] 26-64	採收	'kitos/militod'	正式拼寫特殊字:/
[FORMAL] 26-75	掐住	'’emec/imec'	正式拼寫特殊字:/’
