# 特殊字元 / 清理報表 — 萬山魯凱語 (dialectId=32, lang_code=dru-mantauran)
# 統計
{
  "total_xml": 1094,
  "valid": 1092,
  "skipped_placeholder": 2,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 297,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1092,
  "apostrophe_words": 429,
  "slash_words": 4,
  "caret_words": 0,
  "special_chars": {
    "ʼ": 401,
    "’": 24,
    ")": 12,
    "(": 12,
    "'": 6,
    "/": 4,
    "-": 4,
    ";": 2,
    "?": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 17-06	播種祭	'tapolravolravoe leheʼe'	正式拼寫特殊字:ʼ
[FORMAL] 17-08	法器(巫醫治病用)	'’aolra’olrape'	正式拼寫特殊字:’
[FORMAL] 18-05	耳環	'lraʼange'	正式拼寫特殊字:ʼ
[FORMAL] 18-06	頸鍊	'ce’elre'	正式拼寫特殊字:’
[FORMAL] 18-08	破掉	'mapoʼai'	正式拼寫特殊字:ʼ
[FORMAL] 18-10	編網針	'okoʼo'	正式拼寫特殊字:ʼ
[FORMAL] 18-13	染色	'padhepeʼe'	正式拼寫特殊字:ʼ
[FORMAL] 18-18	妝扮飾物	'ʼaimolramolrae'	正式拼寫特殊字:ʼ
[FORMAL] 18-20	傳統女裙	'’imai'	正式拼寫特殊字:’
[FORMAL] 18-23	毛線	'kiiʼito'	正式拼寫特殊字:ʼ
[FORMAL] 18-24	裙子	'ʼimai'	正式拼寫特殊字:ʼ
[FORMAL] 18-25	男用遮陰布	'aʼolalai ʼasepe'	正式拼寫特殊字:ʼ
[FORMAL] 18-26	男用背負網袋	'aʼolalai kaicae'	正式拼寫特殊字:ʼ
[MEMO?] 18-27	男用遮布；掛肩	'’apetepete ; cimolromolroho'	疑似備註字元:;
[FORMAL] 18-27	男用遮布；掛肩	'’apetepete ; cimolromolroho'	正式拼寫特殊字:’
[FORMAL] 18-32	刮苧麻	'koʼidhi'	正式拼寫特殊字:ʼ
[FORMAL] 19-02	圓形竹簍	'’avelre'	正式拼寫特殊字:’
[FORMAL] 20-03	車站	'ta’adha’adhaoe sangepare'	正式拼寫特殊字:’
[FORMAL] 21-01	飯	'vaʼoho'	正式拼寫特殊字:ʼ
[FORMAL] 21-03	白米	'veeʼao pahai'	正式拼寫特殊字:ʼ
[FORMAL] 21-04	菜餚	'ʼadhamai'	正式拼寫特殊字:ʼ
[FORMAL] 21-05	青菜	'aaʼo'	正式拼寫特殊字:ʼ
[FORMAL] 21-11	味道	'ʼaanoamiʼa'	正式拼寫特殊字:ʼ
[FORMAL] 21-12	湯	'ʼasolroʼo'	正式拼寫特殊字:ʼ
[FORMAL] 21-17	粥	'kaliiliʼoho'	正式拼寫特殊字:ʼ
[FORMAL] 21-22	醬油	'taoʼiyo'	正式拼寫特殊字:ʼ
[FORMAL] 21-23	在來米	'paʼosiyame'	正式拼寫特殊字:ʼ
[FORMAL] 21-25	麵粉	'ʼodhongko'	正式拼寫特殊字:ʼ
[FORMAL] 22-04	紫色	'ʼakokadhiliyange'	正式拼寫特殊字:ʼ
[FORMAL] 22-05	黃色	'tavalaʼavaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 22-06	咖啡色	'ʼakokaecelrange'	正式拼寫特殊字:ʼ
[FORMAL] 22-07	灰色	'talriʼavoʼavoko'	正式拼寫特殊字:ʼ
[FORMAL] 22-08	綠色	'taʼalekeʼeke'	正式拼寫特殊字:ʼ
[FORMAL] 22-09	顏色	'pacaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 23-01	狗吠	'taʼovalra'	正式拼寫特殊字:ʼ
[FORMAL] 24-02	獨自一人	'taʼangea'	正式拼寫特殊字:ʼ
[FORMAL] 24-06	是的	'iyaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 24-08	力量/關節	'keʼecengae/’oce'	正式拼寫特殊字:/ʼ’
[FORMAL] 24-09	目標	'tapataʼasae'	正式拼寫特殊字:ʼ
