# 特殊字元 / 清理報表 — 恆春阿美語 (dialectId=5, lang_code=ami-hengchun)
# 統計
{
  "total_xml": 1094,
  "valid": 1093,
  "skipped_placeholder": 1,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 298,
    "4": 302
  },
  "cleaned": 1,
  "with_image": 602,
  "with_audio": 1093,
  "apostrophe_words": 278,
  "slash_words": 132,
  "caret_words": 13,
  "special_chars": {
    "ʼ": 261,
    "/": 132,
    "’": 16,
    "^": 13,
    ")": 4,
    "(": 4,
    ";": 3,
    "…": 3,
    ",": 3,
    "孩": 1,
    "小": 1,
    "帶": 1,
    "\\": 1,
    "揹": 1,
    ":": 1,
    "'": 1,
    "紅": 1,
    "口": 1,
    ".": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 11-30	天黑	'toʼeman'	正式拼寫特殊字:ʼ
[FORMAL] 11-31	雨停	'masaʼesa ko ʼorad'	正式拼寫特殊字:ʼ
[FORMAL] 12-01	家	'lomaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 12-08	工寮	'taloʼan'	正式拼寫特殊字:ʼ
[FORMAL] 12-09	廁所	'kamisiʼan'	正式拼寫特殊字:ʼ
[FORMAL] 12-11	石堆	'ʼatol'	正式拼寫特殊字:ʼ
[FORMAL] 12-12	雞寮	'pakokoʼan'	正式拼寫特殊字:ʼ
[FORMAL] 12-18	搭建圍籬	'miʼadipel'	正式拼寫特殊字:ʼ
[FORMAL] 12-19	後院	'kaikoran no loma’/ kaikoran'	正式拼寫特殊字:/’
[FORMAL] 13-01	明年	'miheca/ lalomiheca'	正式拼寫特殊字:/
[FORMAL] 13-07	白天	'romiʼad'	正式拼寫特殊字:ʼ
[FORMAL] 13-10	黑暗	'toʼeman'	正式拼寫特殊字:ʼ
[MEMO?] 13-17	大後天	'anocila /anci;la'	疑似備註字元:;
[FORMAL] 13-17	大後天	'anocila /anci;la'	正式拼寫特殊字:/
[FORMAL] 13-19	後天	'anocila/ anoci:la'	正式拼寫特殊字:/:
[FORMAL] 13-20	上午	'ʼayaw no lahok'	正式拼寫特殊字:ʼ
[FORMAL] 13-24	一下子	'pacalinaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 13-27	星期日	'paʼaliwacan'	正式拼寫特殊字:ʼ
[FORMAL] 13-29	天天	'romiʼamiʼad'	正式拼寫特殊字:ʼ
[FORMAL] 13-30	現在	'nohatini/hatini'	正式拼寫特殊字:/
[FORMAL] 14-01	裡面	'lalomaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 14-03	上面	'kafekang/fafekang'	正式拼寫特殊字:/
[FORMAL] 14-04	前面	'kaʼayaw'	正式拼寫特殊字:ʼ
[FORMAL] 14-08	旁邊	'tatihi/katihi'	正式拼寫特殊字:/
[MEMO?] 14-13	某物之下	'laeno no …'	疑似備註字元:…
[FORMAL] 14-14	經過	'taʼelif'	正式拼寫特殊字:ʼ
[MEMO?] 14-15	(從某處)到某處	'tatayra i…'	疑似備註字元:…
[FORMAL] 15-03	撒播	'paloma/forsak'	正式拼寫特殊字:/
[FORMAL] 15-11	肥料	'sapaiyo/tayhi'	正式拼寫特殊字:/
[FORMAL] 15-12	篩穀器具	'hatapes / fitay'	正式拼寫特殊字:/
[FORMAL] 15-14	稻草	'ʼasisiw'	正式拼寫特殊字:ʼ
[FORMAL] 16-01	弓	'panaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 16-03	箭	'pana’'	正式拼寫特殊字:’
[FORMAL] 16-04	餌	'sapaririʼ'	正式拼寫特殊字:ʼ
[FORMAL] 16-06	獵刀	'poʼot'	正式拼寫特殊字:ʼ
[FORMAL] 16-08	獵獲物(統稱)	'tamaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 16-10	套頸式繩索陷阱	'waʼir'	正式拼寫特殊字:ʼ
[FORMAL] 17-02	夢	'tiʼih'	正式拼寫特殊字:ʼ
[FORMAL] 17-05	祖靈祭	'kilomaʼan'	正式拼寫特殊字:ʼ
[FORMAL] 17-06	播種祭	'pisaraʼoan'	正式拼寫特殊字:ʼ
[FORMAL] 17-08	法器(巫醫治病用)	'sapiʼedaw'	正式拼寫特殊字:ʼ
[FORMAL] 18-02	衣服	'rikoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 18-21	鞋子	'koco/cokap'	正式拼寫特殊字:/
[FORMAL] 18-27	擋胸巾	'sapaiʼayaw'	正式拼寫特殊字:ʼ
[FORMAL] 18-28	袖子	'cacaʼedongan'	正式拼寫特殊字:ʼ
[FORMAL] 18-29	上衣	'rikoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 20-03	車站	'ciyataw/siyataw'	正式拼寫特殊字:/
[FORMAL] 20-05	船	'tamina/cifar'	正式拼寫特殊字:/
[FORMAL] 20-07	火車	'ʼacefelay / kasolin'	正式拼寫特殊字:/ʼ
[FORMAL] 21-08	(蜂)蜜	'ʼodax'	正式拼寫特殊字:ʼ
[FORMAL] 21-09	蛋	'fitaʼol'	正式拼寫特殊字:ʼ
[FORMAL] 21-11	味道(吃)	'ʼaredet'	正式拼寫特殊字:ʼ
[FORMAL] 21-15	穀粒	'ʼasad'	正式拼寫特殊字:ʼ
[FORMAL] 21-16	糯米	'ko^tengay'	正式拼寫特殊字:^
[FORMAL] 21-19	糖	'ʼodax'	正式拼寫特殊字:ʼ
[FORMAL] 21-22	醬油	'tawʼiw'	正式拼寫特殊字:ʼ
[FORMAL] 23-01	狗吠聲	'ʼawʼaw'	正式拼寫特殊字:ʼ
[FORMAL] 24-04	部落	'niyaroʼ'	正式拼寫特殊字:ʼ
[FORMAL] 24-05	日子	'romiʼad /ʼorip'	正式拼寫特殊字:/ʼ
[FORMAL] 24-06	是的	'hay/hai/hayda'	正式拼寫特殊字:/
[FORMAL] 24-07	語言	'sowal/caciyaw'	正式拼寫特殊字:/
[FORMAL] 24-08	力量	'ʼicel'	正式拼寫特殊字:ʼ
[FORMAL] 24-10	文化	'serangawan/lalengawan'	正式拼寫特殊字:/
[FORMAL] 24-11	重要的	'epoc/kalimmelaan'	正式拼寫特殊字:/
[FORMAL] 24-12	結婚	'pakaʼtim/mararamod'	正式拼寫特殊字:/ʼ
[FORMAL] 24-14	價格	'ʼaca'	正式拼寫特殊字:ʼ
[FORMAL] 24-15	用途	'hasaka/malo'	正式拼寫特殊字:/
[FORMAL] 25-01	關上	'ʼedef'	正式拼寫特殊字:ʼ
[FORMAL] 25-02	賣	'paʼaca/paliwal'	正式拼寫特殊字:/ʼ
[FORMAL] 25-06	買	'ʼaca'	正式拼寫特殊字:ʼ
[FORMAL] 25-15	送(客人)	'patonoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 25-22	(植物)生長	'pinarengaw/malengaw'	正式拼寫特殊字:/
[FORMAL] 25-30	向人家要(東西)	'miladaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 25-32	走(向某個方向)	'pasayra/pasi/pasa'	正式拼寫特殊字:/
[FORMAL] 25-34	逛一逛	'Misarakarakat /misaniwaniwang'	正式拼寫特殊字:/
[FORMAL] 25-38	分開	'lacinowas/malaliyas'	正式拼寫特殊字:/
[FORMAL] 25-40	穿(如穿衣服)	'cirikoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 25-42	出現	'mahadak/masadak'	正式拼寫特殊字:/
[FORMAL] 25-43	坐著	'aroʼ'	正式拼寫特殊字:ʼ
[FORMAL] 25-45	關(門；窗)	'ʼedef'	正式拼寫特殊字:ʼ
[FORMAL] 25-50	看起來	'nengneng han /ʼaraw han'	正式拼寫特殊字:/ʼ
[FORMAL] 25-51	拜訪	'milisoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-03	坐下	'maroʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-05	掛	'caʼit'	正式拼寫特殊字:ʼ
[FORMAL] 26-08	打(人)	'setiʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-11	跌倒	'mapolin/matoroʼ'	正式拼寫特殊字:/ʼ
